名前,日程,種別,緯度,経度,メモ
那覇空港,Day1,発着,26.206400,127.646700,JAL903 07:20羽田発 09:55着 / JAL918 19:00発
玉陵,Day1,世界遺産,26.218317,127.714748,琉球王国第二尚氏の王陵。滞在40分
中村家住宅,Day1,重要文化財,26.289878,127.800643,18世紀の豪農屋敷。縁側でさんぴん茶
中城城跡,Day1,世界遺産,26.283934,127.801160,中村家住宅の目の前。東西両方の海が見える
美浜アメリカンビレッジ,Day1,グルメ・買物,26.315700,127.756300,サンセットビーチで日没18:20頃→夕食
ラグナガーデンホテル,Day1,宿泊,26.280555,127.738276,10/8はここに泊まる。18:45着。朝食付き
トロピカルビーチ,Day2,ビーチ,26.281438,127.731813,宿から車5分。10/9の朝に任意で散歩か遊泳
琉球村,Day2,体験・文化,26.429469,127.775259,9:00開園。10:00前後の道ジュネー狙い
万座毛,Day2,絶景,26.504800,127.849700,遊歩道一周15分。有料入場
ブセナ海中公園,Day2,クルージング,26.539819,127.935858,グラス底ボート約20分＋海中展望塔。セット券。波が高いと欠航
古宇利大橋 南詰,Day2,絶景,26.683600,128.016900,渡る前に屋我地島側の駐車帯から全景
isola base kouri,Day2,宿泊,26.711901,128.015677,10/9はここに泊まる。15:50チェックイン。一棟貸し・食事なし
古宇利島,Day2,ビーチ,26.707298,128.018169,チェックイン後に車で島内を一周。夕日と星空。夕食も島内で
ティーヌ浜（ハートロック）,Day2,ビーチ,26.715700,128.022300,古宇利島北側。車で5分
国営沖縄記念公園エメラルドビーチ,Day3,ビーチ,26.699183,127.877590,10/10午前。遊泳4/1-10/31・10月は8:30-17:30・無料
備瀬のフクギ並木,Day3,集落・並木,26.700700,127.877300,エメラルドビーチから徒歩すぐ。フクギ約2万本
宮里そば,Day3,グルメ,26.593978,127.970714,10/10の昼食。日曜定休・売り切れ次第終了。11:50着で組んである
東村ふれあいヒルギ公園,Day3,アクティビティ,26.603985,128.144838,慶佐次川マングローブカヤック。集合14:30・体験15:00-17:00・6000円。要予約
ココガーデンリゾートオキナワ,Day3,宿泊,26.420203,127.819982,10/10はここに泊まる。18:35着。朝食付き。夕食はホテル内で
ジェフ泡瀬店,Day4,グルメ,26.320260,127.827465,10/11の朝。土日祝7:00から。ぬーやるバーガーとゴーヤーリング
勝連城跡（あまわりパーク）,Day4,世界遺産,26.330879,127.881008,ジェフから車13分。一の曲輪から金武湾と海中道路を一望
果報バンタ（ぬちまーす）,Day4,絶景,26.360843,127.992234,工場見学無料 9:00-17:30。塩ソフト
海中道路・海の駅あやはし館,Day4,絶景・グルメ,26.335858,127.939774,全長4.7km。干潮時が当たり。昼食はここ
沖縄県立博物館・美術館（おきみゅー）,Day4,博物館,26.227314,127.693849,日曜9:00-18:00（入館17:30）。常設展530円。国際通りの手前
国際通り,Day4,買い物,26.214800,127.689300,土産の総仕上げ
第一牧志公設市場,Day4,買い物,26.214400,127.690500,2階食堂の「持ち上げ」
壺屋やちむん通り,Day4,買い物,26.212909,127.691808,公設市場から徒歩5分。読谷を見送ったぶんの器はここで
A&W 那覇空港店,Day4,グルメ,26.206400,127.646700,国内線ターミナル3F。6:30-20:00。返却後・搭乗前に
今帰仁城跡,予備,差し替え候補,26.692208,127.927919,閉門18:00・最終入場17:30。Day3のバッファに挟める
沖縄美ら海水族館,予備,差し替え候補,26.694400,127.877900,閉館18:30・最終入館17:30。Day3が雨のときの振替先。エメラルドビーチと同じ公園内
瀬長島ウミカジテラス,予備,差し替え候補,26.178000,127.644400,空港から車10分。返却前に30〜40分
