提出者,GoogleマップURL,優先度,スポット名,ひとこと,採否
Otsu,"https://www.google.com/maps/search/?api=1&query=26.218317,127.714748",high,玉陵,首里城の代わりの世界遺産枠,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.289878,127.800643",high,中村家住宅,沖縄の伝統住居を見るならここが一番早い,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.283934,127.801160",middle,中城城跡,中村家住宅の目の前。両方の海が見える,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.315700,127.756300",middle,美浜アメリカンビレッジ,初日の夕食とサンセット,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.429469,127.775259",high,琉球村,道ジュネーの回に合わせたい,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.504800,127.849700",high,万座毛,遊歩道一周15分,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.539819,127.935858",middle,ブセナ海中公園,グラス底ボートと海中展望塔。泳がなくていい,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.552103,127.969873",low,道の駅 許田,昼食と北部施設の割引券,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.707298,128.018169",high,古宇利島,2日目はここに泊まる,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.715700,128.022300",middle,ティーヌ浜,ハートロック,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.603985,128.144838",high,東村ふれあいヒルギ公園,マングローブカヤックの拠点。要予約,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.861407,128.251224",high,アスムイハイクス,旧大石林山。やんばるの森を歩く枠,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.871971,128.265638",middle,辺戸岬,本島最北端,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.330879,127.881008",high,勝連城跡,一の曲輪から海中道路が見下ろせる,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.360843,127.992234",high,果報バンタ,断崖から真下のコバルトの海,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.335858,127.939774",middle,海中道路,干潮時が当たり。昼食もここ,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.214800,127.689300",middle,国際通り,最終日の土産枠,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.214400,127.690500",low,第一牧志公設市場,2階食堂の持ち上げ,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.212909,127.691808",low,壺屋やちむん通り,読谷を見送ったぶんの器,採用
Otsu,"https://www.google.com/maps/search/?api=1&query=26.692208,127.927919",low,今帰仁城跡,2日目の差し替え候補,未定
Otsu,"https://www.google.com/maps/search/?api=1&query=26.694400,127.877900",low,沖縄美ら海水族館,雨天時の振替先,未定
Otsu,"https://www.google.com/maps/search/?api=1&query=26.700700,127.877300",low,備瀬のフクギ並木,水族館とセット,未定
Otsu,"https://www.google.com/maps/search/?api=1&query=26.178000,127.644400",low,瀬長島ウミカジテラス,最終日に余裕があれば,未定
